ch,no,hanji,lomaji,mandarin,audio
1,1,多謝你！,To-siā--lí!,謝謝你！,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_01_03.mp3
1,2,按呢好！,Án-ne hó!,這樣好！,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_02_03.mp3
1,3,我伨你。,Guá-thīn--lí!,我支持你。,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_03_03.mp3
1,4,你講啥？,Lí końg siánn?,你說什麼？,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_04_03.mp3
1,5,著來呢！,Tio̍h lâi--neh!,要來喔！,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_05_03.mp3
1,6,伊人真好。,I lan̂g tsin hó.,他待人很好。,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_06_03.mp3
1,7,講予伊知。,Końg hōo i tsai.,告訴他讓他知道。,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_07_03.mp3
2,1,有要緊無？,Ū iàu-kín--bô?,事情嚴不嚴重?,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_08_04.mp3
2,2,好膽莫走！,Hó-tánn mài tsáu!,有膽就不要逃跑！,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_09_04.mp3
2,3,你莫怪伊。,Lí mài kuài--i.,你別責怪他。,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_10_04.mp3
2,4,你捌伊無？,Lí bat--i--bô?,你認識他嗎？,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_11_04.mp3
2,5,有這款可能。,Ū tsit khuán khó-lin̂g.,有這種可能。,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_12_04.mp3
2,6,你共我記咧。,Lí kā guá kì--leh,你給我記住。,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_13_04.mp3
2,7,著我的番矣。,Tio̍h guá ê haun--ah.,輪到我了。,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_14_04.mp3
3,1,伊懸我一輩。,I kuân guá tsi̍t puè.,他長我一個輩分。,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_15_05.mp3
3,2,我佮伊無親。,Guá kah i bô tshin.,我和他不親近。,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_16_05.mp3
3,3,你是按怎無來？,Lí sī-án-tsuánn bô lâi?,你為什麼沒有來？,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_17_05.mp3
3,4,我的冊借人矣。,Guá ê tsheh tsioh--lâng--ah.,我的書借人了。,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_18_05.mp3
3,5,你莫佇遐假𠢕。,Lí mài tī hia ké--gâu.,你不要自作聰明。,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_19_05.mp3
3,6,好啦！莫吵啦！,Hó--lah! Mài tshá--lah!,好啦！別吵啦！,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_20_05.mp3
3,7,伊定定得失人。,I tiānn-tiānn tik-sit--lâng.,他常常得罪人。,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_21_05.mp3
4,1,頭前是死路。,Thâu-tsin̂g sī sí-lōo.,前面是死路。,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_02_01_14.mp3
4,2,船仔歇佇橋跤。,Tsûn-á hioh tī kiô-kha.,船停在橋下。,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_02_02_14.mp3
4,3,這條小路真歹行。,Tsit tiâu sí-lōo tsin pháinn kiânn.,這條小路很難走。,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_02_03_14.mp3
4,4,你欲行對佗位去？,Li beh kiânn tuì tó-uī--khì?,你要往哪裡去？,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_02_04_14.mp3
